Size (kB),Record Length,Write (kB/s),Rewrite (kB/s),Read (kB/s),Reread (kB/s),Random Read (kB/s),Random Write (kB/s)
64,4,34011.6,39723.6,39218.6,36553.0,31544.0,41701.4
64,8,72289.0,81015.0,70232.4,55722.4,55603.2,75372.0
64,16,127053.0,143622.2,116861.8,96186.8,92004.4,100478.0
64,32,187728.6,206054.6,219206.2,234722.2,229960.0,222314.8
64,64,336110.6,381114.0,328563.4,368490.8,351978.2,350993.2
128,4,37578.8,43692.2,34807.4,36924.4,34864.6,42484.4
128,8,68250.4,75738.8,61529.8,57600.8,52871.6,74316.2
128,16,111332.6,141562.8,113211.6,94991.0,122784.2,125822.0
128,32,186645.0,235323.6,229679.0,249071.2,212367.0,252439.8
128,64,283224.4,418377.0,387378.6,424922.6,403852.4,370616.8
128,128,360569.2,617588.4,587126.4,596521.0,557089.4,541579.6
256,4,38398.6,43676.4,41429.4,41940.8,33711.8,43799.6
256,8,72145.8,82253.6,74347.2,71102.4,61252.2,77147.4
256,16,119896.4,142798.6,126889.6,130173.4,115305.4,131648.0
256,32,196147.8,252066.8,220389.6,198968.2,186321.0,246533.6
256,64,309286.0,399369.4,389533.6,394157.2,382652.2,394093.4
256,128,455131.0,674150.2,592441.6,611556.0,577998.6,665231.2
256,256,601415.0,973016.0,776239.8,799941.4,818797.4,907251.2
512,4,40417.6,44096.6,44276.0,45784.2,37518.4,43550.6
512,8,70383.6,76840.8,79178.4,82162.2,64572.6,82839.6
512,16,131515.2,142882.6,136033.2,152039.6,111397.0,143844.8
512,32,229777.8,255089.2,249346.0,250145.6,195528.8,244429.4
512,64,366253.0,383270.4,376015.4,344854.2,262395.8,342768.4
512,128,552125.6,644042.8,541842.4,404808.2,397783.2,466342.2
512,256,659684.8,856150.4,753696.6,862271.2,778058.0,843553.2
512,512,751311.6,990675.6,1037437.4,1056014.4,1042392.6,1032154.6
1024,4,39121.6,44148.6,47211.4,47442.8,37830.8,43100.6
1024,8,73028.0,79803.0,88414.0,90201.4,70502.2,79106.2
1024,16,134705.2,149153.4,162195.8,165872.8,132248.0,143255.0
1024,32,239298.8,243752.4,287406.4,292955.8,207135.6,255218.6
1024,64,382200.0,437253.8,451867.4,427406.8,320140.8,382076.4
1024,128,561756.0,658930.6,594112.6,486448.4,416765.0,523242.6
1024,256,746789.8,855582.0,723327.8,634452.8,772637.6,781216.0
1024,512,872850.4,936819.8,1039981.8,947848.0,1033486.8,991472.4
1024,1024,908783.2,1008831.8,1184005.0,1156389.0,1191810.8,1077128.4
2048,4,40106.2,43623.8,48219.6,49054.4,38146.8,42808.6
2048,8,74633.8,79338.4,93535.8,95282.0,72442.8,78556.6
2048,16,138691.8,155414.2,170852.4,179280.8,136102.6,146238.2
2048,32,241127.2,262867.2,305528.6,315077.2,225332.0,264106.0
2048,64,390659.8,431259.6,498077.8,514587.2,343354.4,405849.8
2048,128,589335.4,608796.6,682516.6,648502.6,501163.8,597542.8
2048,256,750580.2,780500.2,763660.2,690172.6,667948.6,797980.8
2048,512,894060.4,905349.2,1028982.6,1022912.2,1059223.8,952680.8
2048,1024,956465.2,952910.2,1166612.2,1169180.2,1205000.6,1051790.6
2048,2048,990446.6,1066159.2,1095970.4,984449.4,1114824.4,1093547.4
4096,4,39836.0,43948.8,49509.0,48610.8,37053.6,43160.0
4096,8,73122.0,82951.2,95290.2,96961.6,70983.6,80617.8
4096,16,133149.0,146246.6,181097.4,184712.8,139524.4,151627.2
4096,32,240694.8,254093.8,318448.0,333382.6,234380.4,253855.0
4096,64,411871.4,414794.8,556395.6,556035.4,366495.2,424310.6
4096,128,632478.0,672058.2,806087.8,783924.0,540956.2,624989.4
4096,256,808833.8,797473.4,1029650.0,914823.2,743227.4,793470.0
4096,512,910405.8,922841.2,1059044.4,1020941.6,1082330.8,924908.0
4096,1024,905095.2,905125.8,1204349.0,1149070.2,1210150.6,993469.6
4096,2048,993148.6,1010179.6,1111749.4,1084714.6,1110999.0,1053278.0
4096,4096,1011683.0,1073531.6,914697.4,912338.0,928556.6,1077518.2
8192,4,39773.8,43357.2,48829.6,49086.6,32895.2,43015.2
8192,8,77022.4,85032.6,95989.6,94736.4,70398.0,84739.2
8192,16,150708.6,163030.6,185489.0,184548.6,132114.6,161410.4
8192,32,275660.8,309389.8,339619.2,346226.8,234852.0,300431.8
8192,64,461418.8,528562.0,572244.4,599324.2,364525.6,501714.4
8192,128,726898.4,756533.0,869557.2,863850.2,491807.2,739733.2
8192,256,957442.0,951465.8,1108624.8,1032493.2,687374.8,913788.6
8192,512,1072592.6,998667.2,1017392.4,959048.4,1037153.2,1056635.4
8192,1024,1131622.0,1123996.6,1192983.4,1137822.8,1199357.4,1112273.6
8192,2048,1146022.0,1136100.4,1204787.0,1174639.6,1198411.8,1205051.0
8192,4096,1262594.6,1281151.0,1102595.8,1092514.0,1092470.4,1267904.6
8192,8192,1226394.4,1242116.8,1194515.2,1189907.0,1187937.0,1322267.8
16384,4,39838.6,43415.6,48811.6,48858.6,30464.0,42743.0
16384,8,77493.4,84471.2,95812.6,97227.6,58833.8,84882.8
16384,16,150935.8,163524.4,183834.6,180396.4,98578.0,161868.4
16384,32,278475.4,307598.4,350648.0,346665.8,165687.4,305663.0
16384,64,499658.8,529734.8,587779.0,588454.0,300918.4,518904.4
16384,128,785257.2,876499.0,966875.0,942099.8,500217.6,838806.0
16384,256,1165487.6,1215076.4,1248434.8,1226617.2,720855.8,1146216.0
16384,512,1481023.2,1527364.2,1096403.8,1049016.8,1099768.0,1485247.2
16384,1024,1741137.2,1747091.0,1510790.2,1431776.4,1460152.2,1746619.6
16384,2048,2277181.2,2329434.6,1892182.6,1898244.0,1892632.2,2229338.8
16384,4096,2392424.4,2447167.2,2126189.4,2115697.6,2115435.6,2445585.8
16384,8192,2499390.4,2500766.8,2217999.2,2183404.2,2181823.6,2510761.0
16384,16384,2495466.0,2524197.4,2220395.4,2230560.0,2223376.4,2525913.4
32768,64,504494.2,549457.2,595905.0,583285.0,273363.0,521393.0
32768,128,804065.4,885534.0,945651.0,912090.0,487023.6,853898.8
32768,256,1247167.6,1232148.2,1356603.4,1351617.0,794523.2,1225740.2
32768,512,1676259.6,1651653.6,1142726.4,1090445.4,1129924.2,1573324.4
32768,1024,1909043.8,1870037.4,1551279.6,1498979.8,1563408.0,1846657.6
32768,2048,2193175.0,2258302.4,2008787.4,1964600.6,1994807.0,2223031.8
32768,4096,2424598.6,2461190.2,2214428.2,2219718.0,2222747.0,2317017.0
32768,8192,2520626.4,2574734.4,2437815.0,2433154.2,2427212.2,2398946.0
32768,16384,2584739.4,2621874.0,2477244.4,2473976.6,2482469.2,2630238.4
65536,64,511579.0,531138.2,573046.0,553350.6,262527.0,506016.4
65536,128,795686.6,839885.0,819775.6,925905.2,474570.0,834874.6
65536,256,1215772.6,1268327.2,1346727.4,1320482.6,831634.4,1276469.2
65536,512,1619570.2,1686211.2,1141164.4,1081133.8,1094977.6,1572418.4
