Size (kB),Record Length,Write (kB/s),Rewrite (kB/s),Read (kB/s),Reread (kB/s),Random Read (kB/s),Random Write (kB/s)
64,4,995.2,1027.2,4122.0,4205.6,4132.2,964.4
64,8,1970.2,2002.2,8384.2,8403.6,8347.8,1971.4
64,16,3944.0,4083.2,16245.8,16608.0,15573.6,4051.0
64,32,7687.2,7934.6,30361.8,33960.8,27625.2,8032.8
64,64,14102.4,15130.4,57487.8,53787.6,48873.8,14204.2
128,4,891.6,963.4,4159.4,4252.6,4254.2,1001.2
128,8,1918.8,1964.0,8294.0,8768.4,8177.0,1982.8
128,16,3922.6,4043.8,16792.0,16559.0,15994.6,3922.4
128,32,7870.0,7810.4,28293.8,31342.2,32102.2,7606.6
128,64,14285.6,14807.8,58803.6,62038.6,54731.6,15190.0
128,128,25976.4,28546.4,86883.2,108107.8,89633.2,25442.4
256,4,984.0,997.2,4219.0,4114.0,4139.4,1041.6
256,8,2030.2,2056.6,8049.4,8309.2,8177.4,2065.8
256,16,3921.4,4068.8,16044.4,16158.0,16474.2,4047.6
256,32,7931.0,7961.0,31116.4,31425.8,31430.8,7940.0
256,64,15944.6,15563.8,61253.8,59700.0,57756.8,15023.8
256,128,24148.2,28024.2,98187.4,109386.4,101384.4,27138.6
256,256,43733.4,43891.8,159442.6,167092.8,145913.4,43867.0
512,4,958.8,1025.4,4452.6,4451.8,4439.2,1016.2
512,8,1974.8,2042.0,8713.2,8565.6,8741.4,2088.0
512,16,4233.4,4211.2,17551.8,17204.6,17221.4,4190.6
512,32,7776.2,7886.0,31176.8,31581.8,31927.6,7794.2
512,64,14812.6,14991.0,58871.0,60838.6,61014.2,14808.0
512,128,27584.6,27446.4,93901.2,99449.6,97787.2,27383.2
512,256,45036.8,48431.6,155340.2,153699.6,138069.2,46167.4
512,512,62070.8,71075.8,221559.0,202100.6,199888.0,66244.0
1024,4,979.6,977.6,4291.4,4466.0,4304.6,1000.8
1024,8,2041.6,2054.6,8214.2,8285.2,8145.6,2084.8
1024,16,3970.2,4014.0,16437.0,16267.0,15934.8,4060.6
1024,32,8047.6,8090.4,32334.8,32538.6,32591.0,7869.8
1024,64,14960.0,15183.0,60938.8,62301.6,61295.0,14685.8
1024,128,26424.0,28078.8,100093.6,105778.6,103736.8,27804.6
1024,256,41059.8,44865.2,165847.0,173821.0,168503.8,43683.0
1024,512,62818.8,64579.6,208507.8,218758.8,203005.2,63887.6
1024,1024,78548.2,83474.6,253405.0,237595.4,247811.6,69603.6
2048,4,1041.0,1035.0,4034.4,4110.0,4113.0,1048.4
2048,8,2159.0,2141.4,7830.2,7853.6,8005.2,2025.4
2048,16,4034.8,4125.6,16527.6,16250.8,15886.0,4049.4
2048,32,8039.0,8389.6,32802.6,32346.0,33123.8,8523.8
2048,64,16079.2,15653.8,63777.4,61323.6,59399.2,15845.0
2048,128,26782.4,27220.6,100700.6,102116.2,95843.8,27391.8
2048,256,44476.6,45211.2,161317.2,163107.8,160137.6,45167.0
2048,512,65044.6,65287.4,196979.2,201307.6,202256.8,68605.6
2048,1024,66386.8,80435.8,230736.8,225541.2,209426.4,60603.0
2048,2048,102054.0,114571.0,259316.2,238363.0,244011.2,108593.2
4096,4,985.4,1026.0,3884.4,4065.6,4088.0,1020.0
4096,8,2019.4,2006.2,7999.4,8446.2,8492.2,2072.4
4096,16,4211.8,4263.8,16617.0,16572.8,16212.4,4052.6
4096,32,8113.2,8156.8,31419.4,31598.6,31580.8,7765.4
4096,64,14833.4,14742.0,58899.6,60335.0,59468.8,15014.0
4096,128,26854.6,27418.4,103494.2,99203.8,100100.8,27256.0
4096,256,41386.8,40095.8,155415.0,160178.8,159272.6,40780.2
4096,512,66940.8,68813.4,188535.2,179817.2,184322.0,70087.0
4096,1024,76143.0,68828.6,248439.8,252420.2,248456.6,79961.0
4096,2048,102142.6,103079.2,291606.0,265535.0,263326.4,82843.4
4096,4096,127049.2,120481.8,311410.4,293672.0,287041.0,115228.4
8192,4,977.4,1016.6,3988.6,3948.2,4036.4,1003.2
8192,8,1992.0,2008.0,8193.6,8278.6,8247.8,1965.4
8192,16,3996.4,4026.8,16089.0,16584.2,16604.4,3942.8
8192,32,7881.2,7894.0,32092.2,32009.2,32054.2,7793.2
8192,64,15852.2,15553.6,59644.8,59827.0,59628.4,15910.4
8192,128,28276.0,28350.8,98405.0,96662.8,96962.4,28205.8
8192,256,40671.0,51885.4,163311.4,160509.8,161134.0,49738.0
8192,512,79391.4,83635.0,197417.4,198465.8,209069.2,77653.2
8192,1024,102509.6,96397.0,256542.4,247326.2,232512.0,78291.0
8192,2048,120105.2,96326.0,281334.8,267304.8,266410.0,124516.0
8192,4096,164195.4,158366.2,285556.4,297411.6,289208.2,131454.4
8192,8192,175675.4,173994.2,291015.2,298009.6,299167.2,169610.4
16384,4,1007.4,1017.4,4004.2,3989.4,3999.2,993.6
16384,8,1986.8,2030.4,8027.0,7878.0,7844.6,2019.4
