Size (kB),Record Length,Write (kB/s),Rewrite (kB/s),Read (kB/s),Reread (kB/s),Random Read (kB/s),Random Write (kB/s)
64,4,11821.0,11942.0,11105.0,11785.0,11287.6,11561.0
64,8,23048.8,22219.8,22767.6,23070.2,22543.8,22845.8
64,16,42762.0,43326.2,45442.4,43160.0,42440.6,45721.8
64,32,81703.6,98025.8,97014.8,85514.0,80570.4,94917.4
64,64,179073.0,190470.6,185208.2,178137.4,176238.8,175306.0
128,4,11810.0,11874.6,11591.4,11794.6,11333.0,11594.6
128,8,23571.0,23317.0,23069.4,23352.4,22443.0,23761.8
128,16,48795.0,48388.6,45276.0,47087.6,44094.8,45059.6
128,32,91283.0,94685.4,87536.0,90241.8,84293.0,86212.6
128,64,188237.0,190242.8,185494.8,178778.6,163443.6,171667.8
128,128,348023.8,350725.6,360812.6,372572.8,322586.4,300250.4
256,4,11688.0,11820.0,11638.0,11828.0,11524.8,11961.8
256,8,23972.0,23324.4,22755.0,23833.2,23033.6,23627.4
256,16,47669.2,45464.4,45587.6,46575.6,44050.2,45904.6
256,32,91685.2,93283.4,87328.4,91774.2,86796.6,93031.6
256,64,176458.4,185803.0,184875.8,184358.8,171180.4,174790.4
256,128,330639.2,346340.2,341536.4,322672.8,254766.6,326099.6
256,256,577024.0,696921.8,667160.4,628947.8,556713.4,558467.2
512,4,11438.2,11682.2,11634.0,11675.4,11473.8,11661.0
512,8,22818.2,22982.4,23166.0,23462.0,22882.2,23258.8
512,16,46100.6,45294.4,45767.6,46893.8,44575.2,46370.8
512,32,93350.2,93512.0,88460.6,90941.6,86192.8,91221.4
512,64,170464.6,177497.0,167736.2,174975.6,156169.2,174905.6
512,128,320713.6,318666.4,318954.8,317050.0,312975.6,344516.8
512,256,618876.8,669104.6,615587.0,586996.6,544193.4,628429.6
512,512,1157886.4,1098507.8,1179658.4,1052732.6,638478.6,881963.6
1024,4,11285.2,11651.8,11566.2,11751.6,11713.6,11706.2
1024,8,22927.4,23264.6,23409.6,23245.4,22994.0,23187.0
1024,16,44396.8,46413.0,46106.8,46410.2,45945.4,46555.8
1024,32,88443.8,89925.0,90048.2,92485.8,88553.8,90140.8
1024,64,177411.2,174661.4,175321.8,179594.0,170517.4,174677.4
1024,128,352413.2,328599.4,329912.2,336616.4,306346.2,335469.6
1024,256,627540.2,641204.8,567872.2,636883.8,546814.8,595741.6
1024,512,1052845.4,1142044.8,1179355.4,1149316.0,800495.0,1093361.0
1024,1024,1128365.0,1470831.0,1830658.6,1943545.6,1439887.8,1783668.6
2048,4,11453.2,11631.0,11742.0,11717.6,11715.2,11704.6
2048,8,22786.6,23485.0,23544.0,23399.6,23402.6,23335.0
2048,16,45202.8,47071.2,46796.0,47069.0,46449.8,46032.4
2048,32,90091.8,92072.0,92584.8,91135.6,89302.2,92356.6
2048,64,175692.0,178044.8,174267.2,179774.6,170802.2,181186.0
2048,128,302394.8,348423.0,329506.0,347964.8,321337.6,346934.4
2048,256,589757.8,663864.6,598698.6,649239.6,542621.4,624795.8
2048,512,1066119.8,1145568.2,1154964.8,1130877.6,865380.8,1164625.2
2048,1024,1584996.8,1676662.4,1595151.4,2078745.2,1304418.2,1636608.8
2048,2048,1059610.0,1639353.6,2064137.4,2043789.2,1118680.6,2239478.6
4096,4,11101.4,10990.2,11572.0,11494.6,11562.0,11167.4
4096,8,22147.0,22574.4,23338.6,23074.4,23280.0,22211.0
4096,16,42514.6,43275.4,46066.2,46405.0,45436.0,43324.0
4096,32,78835.0,81493.8,89109.4,91590.0,89613.6,80508.4
4096,64,144430.8,150270.0,172410.0,176861.2,171091.0,148732.8
4096,128,241997.8,258043.6,326716.2,335924.2,326445.8,284977.4
4096,256,330305.0,412007.2,619658.0,621780.4,588159.2,443409.6
4096,512,505031.8,509433.6,1118243.2,1189171.6,973992.2,724389.4
4096,1024,1090713.8,1229267.6,1698084.2,1932035.6,1475049.6,1663911.2
4096,2048,1365939.6,1594796.4,2340211.2,2153882.2,1201016.4,2068200.8
4096,4096,1574047.6,1518495.6,1629274.8,1579102.0,968589.0,1503591.6
8192,4,10903.8,10715.6,10271.4,10491.4,10113.6,10248.0
8192,8,18354.4,21136.8,19930.4,20442.4,19420.6,19855.4
8192,16,33111.0,39499.2,37259.4,37916.6,37406.4,38835.0
