second,transfer,bitrate
0,7.55,64.78
1,7.4,63.56
2,7.53,64.68
3,7.46,64.08
4,7.46,64.08
5,7.52,64.64
6,7.54,64.76
7,7.57,64.98
8,7.51,64.54
9,7.59,65.2
10,7.55,64.84
11,7.59,65.16
12,7.62,65.48
13,7.63,65.52
14,7.55,64.88
15,7.52,64.62
16,7.56,64.94
17,7.53,64.72
18,7.55,64.9
19,7.59,65.18
20,7.58,65.08
21,7.58,65.12
22,7.56,64.98
23,7.5,64.4
24,7.56,65.0
25,7.54,64.74
26,7.56,64.94
27,7.53,64.66
28,7.5,64.4
29,7.57,65.02
30,7.54,64.78
31,7.52,64.62
32,7.54,64.76
33,7.59,65.2
34,7.57,64.98
35,7.46,64.12
36,7.54,64.78
37,7.5,64.4
38,7.54,64.76
39,7.52,64.64
40,7.51,64.54
41,7.44,63.94
42,7.53,64.68
43,7.59,65.2
44,7.51,64.48
45,7.47,64.16
46,7.5,64.38
47,7.51,64.48
48,7.56,64.96
49,7.6,65.28
50,7.62,65.46
51,7.58,65.12
52,7.57,65.0
53,7.51,64.54
54,7.52,64.6
55,7.55,64.88
56,7.48,64.26
57,7.44,63.9
58,7.47,64.14
59,7.58,65.08
