second,transfer,bitrate
0,7.55,64.78
1,7.37,63.32
2,7.52,64.62
3,7.45,63.98
4,7.46,64.08
5,7.52,64.62
6,7.53,64.72
7,7.56,64.94
8,7.49,64.36
9,7.58,65.1
10,7.54,64.82
11,7.58,65.1
12,7.61,65.4
13,7.63,65.52
14,7.55,64.86
15,7.51,64.52
16,7.56,64.92
17,7.53,64.62
18,7.53,64.76
19,7.58,65.12
20,7.56,64.94
21,7.57,65.06
22,7.56,64.9
23,7.49,64.34
24,7.56,64.94
25,7.52,64.6
26,7.55,64.9
27,7.53,64.64
28,7.48,64.28
29,7.57,64.98
30,7.54,64.8
31,7.51,64.46
32,7.54,64.76
33,7.59,65.2
34,7.56,64.92
35,7.45,63.94
36,7.54,64.74
37,7.49,64.34
38,7.52,64.66
39,7.52,64.62
40,7.51,64.5
41,7.43,63.82
42,7.53,64.66
43,7.58,65.08
44,7.5,64.48
45,7.45,64.02
46,7.48,64.26
47,7.5,64.42
48,7.56,64.94
49,7.59,65.22
50,7.62,65.44
51,7.57,65.04
52,7.56,64.96
53,7.51,64.52
54,7.51,64.52
55,7.55,64.84
56,7.48,64.26
57,7.43,63.8
58,7.46,64.04
59,7.57,65.0
