second,transfer,bitrate
0,237.2,1.98
1,257.6,2.16
2,249.2,2.09
3,217.8,1.78
4,207.8,1.81
5,238.4,2.0
6,241.8,1.98
7,213.8,1.82
8,207.0,1.74
9,243.6,2.04
10,213.0,1.79
11,250.6,2.1
12,223.6,1.88
13,222.8,1.87
14,243.6,2.04
15,222.2,1.86
16,225.2,1.89
17,223.2,1.87
18,250.8,2.09
19,258.8,2.18
20,246.6,2.07
21,248.0,2.08
22,241.4,2.03
23,229.4,1.93
24,225.2,1.89
25,239.4,2.01
26,209.6,1.76
27,224.8,1.88
28,241.6,2.03
29,224.4,1.88
30,220.8,1.86
31,240.0,2.01
32,251.6,2.09
33,239.8,2.02
34,330.4,2.08
35,327.8,2.05
36,201.8,1.94
37,224.6,1.88
38,236.8,1.98
39,250.8,2.11
40,220.6,1.85
41,241.2,2.02
42,248.8,2.09
43,258.8,2.17
44,255.6,2.15
45,237.2,1.99
46,232.2,1.95
47,218.6,1.83
48,233.8,1.96
49,200.6,1.68
50,216.0,1.79
51,247.6,2.1
52,225.8,1.9
53,181.8,1.51
54,248.4,2.11
55,229.2,1.93
56,229.2,1.92
57,233.6,1.96
58,232.8,1.96
59,215.8,1.81
