second,transfer,bitrate
0,305.6,2.56
1,321.6,2.59
2,300.2,2.64
3,309.6,2.58
4,335.2,2.62
5,290.0,2.64
6,313.8,2.63
7,335.6,2.6
8,370.0,2.61
9,318.75,2.62
10,278.0,2.55
11,307.8,2.61
12,311.2,2.62
13,308.4,2.59
14,297.17,2.61
15,337.0,2.58
16,279.0,2.61
17,310.8,2.61
18,326.8,2.59
19,279.0,2.5
20,345.2,2.59
21,276.6,2.62
22,305.2,2.61
23,319.8,2.52
24,291.6,2.59
25,308.4,2.6
26,353.0,2.59
27,329.8,2.58
28,331.8,2.65
29,317.2,2.63
30,258.0,2.45
31,414.0,2.5
32,285.0,2.46
33,341.0,2.52
34,238.33,2.4
35,284.2,2.59
36,317.4,2.61
37,305.2,2.61
38,264.69,2.65
39,233.89,2.63
40,247.89,2.62
41,247.89,2.62
42,283.8,2.64
43,321.4,2.54
44,310.6,2.51
45,262.0,2.42
46,292.2,2.43
47,297.6,2.5
48,344.8,2.44
49,271.62,2.39
50,269.4,2.45
51,266.4,2.35
52,288.8,2.42
53,282.6,2.49
54,285.0,2.5
55,282.6,2.48
56,287.96,2.51
57,333.6,2.63
58,268.2,2.63
59,310.6,2.6
