second,transfer,bitrate
0,233.8,1.96
1,257.6,2.16
2,249.8,2.09
3,218.2,1.83
4,208.0,1.74
5,238.6,2.0
6,236.6,1.98
7,218.4,1.83
8,207.6,1.74
9,243.8,2.04
10,212.6,1.78
11,250.6,2.1
12,223.8,1.87
13,223.2,1.87
14,243.4,2.04
15,221.2,1.86
16,225.8,1.89
17,223.4,1.87
18,249.0,2.09
19,260.6,2.19
20,246.8,2.07
21,248.0,2.08
22,241.2,2.02
23,229.4,1.92
24,225.2,1.89
25,239.0,2.0
26,209.4,1.76
27,224.6,1.88
28,241.6,2.03
29,225.0,1.88
30,221.0,1.85
31,239.8,2.01
32,249.4,2.09
33,240.4,2.02
34,246.2,2.07
35,246.0,2.06
36,232.6,1.95
37,224.2,1.88
38,236.6,1.98
39,251.4,2.11
40,220.2,1.85
41,241.6,2.02
42,248.0,2.09
43,259.0,2.17
44,255.2,2.14
45,236.6,1.99
46,232.4,1.95
47,218.6,1.83
48,234.0,1.96
49,199.8,1.68
50,216.6,1.82
51,247.6,2.08
52,225.8,1.9
53,182.0,1.52
54,248.8,2.09
55,229.6,1.93
56,229.4,1.92
57,233.4,1.96
58,233.4,1.96
59,215.8,1.81
